timestamp;latitude;longitude;altitude;horizontalAccuracy;verticalAccuracy;speed;course
2021-01-10 13:53:08 +0000;51.677291;5.292906;10.304327;5.087070;5.087070;51.288250;188.274086
2021-01-10 13:53:09 +0000;51.677158;5.292872;9.991165;5.107648;5.107648;52.433656;188.385205
2021-01-10 13:53:10 +0000;51.677021;5.292832;9.776086;5.085420;5.085420;53.803770;189.017282
2021-01-10 13:53:11 +0000;51.676892;5.292797;9.456562;5.081993;5.081993;53.035858;188.890868
2021-01-10 13:53:12 +0000;51.676758;5.292766;9.028953;5.115436;5.115436;53.772194;188.413598
2021-01-10 13:53:13 +0000;51.676626;5.292733;8.977813;5.118704;5.118704;54.033277;188.681149
2021-01-10 13:53:14 +0000;51.676492;5.292705;9.181185;5.113714;5.113714;53.964664;188.706266
2021-01-10 13:53:15 +0000;51.676358;5.292671;8.993328;5.086809;5.086809;53.483548;188.832252
2021-01-10 13:53:16 +0000;51.676226;5.292643;8.958726;5.061343;5.061343;52.913186;188.564949
2021-01-10 13:53:17 +0000;51.676097;5.292612;9.158251;5.069110;5.069110;52.255154;188.690290
2021-01-10 13:53:18 +0000;51.675981;5.292575;8.809914;5.064199;5.064199;49.497794;190.837402
2021-01-10 13:53:19 +0000;51.675870;5.292538;8.907310;5.054120;5.054120;46.806201;192.028955
2021-01-10 13:53:20 +0000;51.675769;5.292482;8.266356;5.024513;5.024513;45.158640;195.160901
2021-01-10 13:53:21 +0000;51.675675;5.292440;8.160796;4.992256;4.992256;42.773824;195.629864
2021-01-10 13:53:22 +0000;51.675571;5.292396;8.371825;4.970374;4.970374;43.491221;195.362408
2021-01-10 13:53:23 +0000;51.675464;5.292345;8.694828;4.962126;4.962126;44.540916;195.924935
2021-01-10 13:53:24 +0000;51.675359;5.292293;8.846900;4.945126;4.945126;44.923347;196.159414
2021-01-10 13:53:25 +0000;51.675254;5.292241;8.785744;4.928499;4.928499;44.880133;195.944759
2021-01-10 13:53:26 +0000;51.675148;5.292202;8.885020;4.914736;4.914736;45.822098;193.920243
2021-01-10 13:53:27 +0000;51.675033;5.292160;8.695115;4.909471;4.909471;47.348159;192.724385
2021-01-10 13:53:28 +0000;51.674908;5.292128;8.703883;4.926750;4.926750;49.138158;189.917014
2021-01-10 13:53:29 +0000;51.674783;5.292105;8.579853;4.946645;4.946645;49.890821;188.224237
2021-01-10 13:53:30 +0000;51.674649;5.292085;7.878354;4.971059;4.971059;51.984751;186.162793
2021-01-10 13:53:31 +0000;51.674510;5.292077;7.749162;4.949223;4.949223;53.521633;183.963234
2021-01-10 13:53:32 +0000;51.674367;5.292073;7.758129;4.938142;4.938142;54.973788;182.211958
2021-01-10 13:53:33 +0000;51.674217;5.292066;7.420819;4.906713;4.906713;56.784150;181.971182
2021-01-10 13:53:34 +0000;51.674081;5.292058;6.749515;4.941566;4.941566;55.268965;182.121934
2021-01-10 13:53:35 +0000;51.673943;5.292056;6.323998;4.954733;4.954733;54.942133;181.292091
2021-01-10 13:53:36 +0000;51.673815;5.292053;5.908048;4.974226;4.974226;52.787496;180.927189
2021-01-10 13:53:37 +0000;51.673694;5.292048;5.821483;4.977794;4.977794;50.603411;181.239881
2021-01-10 13:53:38 +0000;51.673583;5.292041;6.194079;4.993088;4.993088;47.834293;181.390518
2021-01-10 13:53:39 +0000;51.673473;5.292045;4.381922;5.000807;5.000807;46.000445;180.250045
2021-01-10 13:53:40 +0000;51.673369;5.292046;4.086622;4.987117;4.987117;44.138311;179.935689
2021-01-10 13:53:41 +0000;51.673263;5.292046;4.302751;4.981373;4.981373;43.723714;179.623399
2021-01-10 13:53:42 +0000;51.673160;5.292061;3.504953;4.980046;4.980046;42.635760;177.510283
2021-01-10 13:53:43 +0000;51.673050;5.292074;3.064059;4.977612;4.977612;42.938059;176.584103
2021-01-10 13:53:44 +0000;51.672942;5.292095;2.669283;4.993312;4.993312;42.633880;174.652430
